Seqfile,seqtype,Reads,Yield,GeeCee,MinLen,AvgLen,MaxLen,AvgQual,ErrQual,Ambiguous
ERR017799,paired,766180,83438691,63.9,30,54,60,32.3,26.8,0.0
ERR015615,paired,16854137,1674262733,64.9,30,49,50,35.1,28.6,0.0
ERR019855,paired,1310609,138456511,60.4,30,52,60,29.9,24.5,0.0
ERR019870,paired,1374315,141843084,63.4,30,51,60,29.4,23.9,0.0
ERR015610,paired,16410528,1631168678,64.7,30,49,50,35.0,27.9,0.0
ERR019872,paired,822535,84762828,63.7,30,51,60,29.4,24.0,0.0
ERR019862,paired,1301878,136020116,63,30,52,60,29.5,24.0,0.0
ERR019863,paired,645912,67502339,63.5,30,52,60,29.5,24.1,0.0
ERR019571,paired,3163968,342732425,63.4,30,54,60,31.7,24.3,0.0
ERR019550,paired,35901,3836251,59.5,30,53,60,31.4,22.6,0.0
ERR017782,paired,1812936,196855333,63.5,30,54,60,32.1,25.9,0.0
ERR017788,paired,2269835,246471010,62.8,30,54,60,32.1,25.9,0.0
ERR019558,paired,802178,87912078,63.8,30,54,60,33.0,28.6,0.0
ERR019864,paired,76242,7686742,62.9,30,50,60,29.2,23.4,0.0
ERR017787,paired,1670648,181434908,63.4,30,54,60,32.1,25.9,0.0
ERR015616,paired,18262415,1814885521,64.7,30,49,50,35.0,27.7,0.0
ERR019562,paired,1031457,113034431,63.8,30,54,60,33.0,28.4,0.0
ERR019555,paired,733140,80342476,63.6,30,54,60,33.0,28.6,0.0
ERR017795,paired,1088505,118534737,63.6,30,54,60,32.3,26.8,0.0
ERR019574,paired,4805865,520748982,62.5,30,54,60,31.7,24.3,0.0
ERR017798,paired,1495052,162776154,63.8,30,54,60,32.3,26.8,0.0
ERR019869,paired,593243,61212361,63.4,30,51,60,29.4,24.0,0.0
ERR019856,paired,1035705,108257773,63.5,30,52,60,29.5,23.9,0.0
ERR019860,paired,1119793,117019909,63.6,30,52,60,29.5,23.9,0.0
ERR019565,paired,2075796,225004989,62.4,30,54,60,31.7,24.3,0.0
ERR019876,paired,767482,79156693,63.5,30,51,60,29.4,24.0,0.0
ERR019575,paired,2353157,254945975,63.4,30,54,60,31.7,24.3,0.0
ERR019853,paired,850736,88927178,62.9,30,52,60,29.6,24.1,0.0
ERR019874,paired,1182356,121853099,63.7,30,51,60,29.4,23.9,0.0
ERR019865,paired,554115,57238824,63.4,30,51,60,29.4,24.0,0.0
ERR017777,paired,139572,14624422,62.6,30,52,60,31.5,22.9,0.0
ERR017796,paired,2531269,275721771,63.6,30,54,60,32.3,26.9,0.0
ERR019560,paired,381857,41842707,63.7,30,54,60,33.0,28.4,0.0
ERR019563,paired,151499,15990322,63.2,30,52,60,31.3,23.6,0.0
ERR017790,paired,108561,11487930,62.9,30,52,60,32.0,25.5,0.0
ERR019875,paired,1302638,134409380,62.9,30,51,60,29.4,24.0,0.0
ERR019873,paired,420383,43381060,63.7,30,51,60,29.4,23.9,0.0
ERR019859,paired,780249,81501825,63.6,30,52,60,29.5,24.0,0.0
ERR019851,paired,78566,8035985,62.9,30,51,60,29.3,23.4,0.0
ERR017793,paired,1522496,165685762,64.9,30,54,60,32.2,26.7,0.0
ERR017801,paired,2380372,259300896,62.8,30,54,60,32.3,26.8,0.0
ERR017778,paired,2572321,279453202,63.4,30,54,60,32.1,25.9,0.0
ERR019553,paired,875086,95863213,64.7,30,54,60,32.8,28.3,0.0
ERR019867,paired,851287,87628997,64.4,30,51,60,29.3,23.9,0.0
ERR017784,paired,2068274,224716244,63.5,30,54,60,32.1,26.0,0.0
ERR017797,paired,4541989,494688877,63.9,30,54,60,32.3,26.8,0.0
ERR017785,paired,1345212,146016493,63.6,30,54,60,32.1,25.9,0.0
ERR017779,paired,1500649,162973735,62.7,30,54,60,32.1,25.9,0.0
ERR019871,paired,2494886,257318222,63.8,30,51,60,29.4,24.0,0.0
ERR017781,paired,2267429,246971600,60.2,30,54,60,32.3,26.6,0.0
ERR019866,paired,841990,86947805,62.5,30,51,60,29.4,24.0,0.0
ERR017802,paired,1392351,151640204,63.7,30,54,60,32.3,26.8,0.0
ERR019868,paired,1257538,129731727,62.9,30,51,60,29.4,24.0,0.0
ERR019568,paired,3871352,419301377,63.4,30,54,60,31.6,24.2,0.0
ERR017786,paired,1940334,210718336,63.6,30,54,60,32.1,25.9,0.0
ERR017800,paired,2156181,234795904,63.9,30,54,60,32.3,26.8,0.0
ERR015612,paired,19264010,1911148335,64.8,30,49,50,34.5,26.9,0.0
ERR019852,paired,1494981,156356319,63.3,30,52,60,29.5,23.8,0.0
